juego,p50,p75,p80,p90,p95
Balloon Wheel,0.6333333333333333,0.7166666666666667,0.7291666666666666,0.7638888888888888,0.7916666666666666
Bici Magica,0.8333333333333334,0.9305555555555556,0.9416666666666667,0.9666666666666667,0.9791666666666666
Brincanguro,0.9583333333333334,0.9821428571428571,0.984375,0.9947916666666666,1.0
Bumperazo,0.41458333333333336,0.4425925925925926,0.44761904761904764,0.46111111111111114,0.47158333333333324
Bumpercitos,0.4251623376623377,0.4801587301587302,0.49107142857142855,0.5153061224489796,0.5285714285714286
Carrusel,0.2863247863247863,0.47884615384615387,0.5299145299145299,0.6538461538461539,0.7435897435897436
Casichoco,0.3333333333333333,0.5675595238095238,0.6107142857142858,0.6901875000000001,0.7416666666666667
Comanche,0.9305555555555556,0.9791666666666666,0.984375,0.9924242424242424,1.0
Convoy,0.35,0.4866666666666667,0.5122058823529414,0.5681818181818182,0.6114957264957264
Dragon,0.9305555555555556,0.9844350961538462,0.9950909090909092,1.0,1.0
El Relámpago,0.9087301587301587,0.9851851851851852,0.9925925925925926,1.0,1.0
El Revoloteo,0.9270833333333334,0.9722222222222222,0.9768518518518519,0.9861111111111112,0.9953703703703703
Faro Saltarín,0.71875,0.7894176136363636,0.8068181818181818,0.85625,0.90625
Guerra Pirata,0.75,0.8809523809523809,0.9010416666666666,0.9427083333333334,0.9635416666666666
Loco Bus,0.5138888888888888,0.685824592074592,0.7163636363636366,0.7925595238095243,0.8522727272727273
Moto Bala,0.9833333333333333,0.9953022875816994,1.0,1.0,1.0
Polo Norte,0.5,0.5833333333333334,0.6,0.6590909090909091,0.7666666666666667
Rascacielos,0.9722222222222222,0.9944444444444445,1.0,1.0,1.0
Ratón Loroco,0.8852941176470588,0.9289772727272727,0.9375,0.9568752660706684,0.9725609756097561
Remolino,0.8961550645442307,0.9375,0.9444444444444444,0.9629353233830845,0.9745823268921096
Samba Balloon,0.390625,0.49609375,0.51171875,0.5446428571428571,0.57421875
Tifón,0.984375,1.0,1.0,1.0,1.0
Trencito,0.4691119691119691,0.527027027027027,0.536036036036036,0.555984555984556,0.5827702702702703
Tronco Splash,0.6954124170309212,0.7482638888888888,0.7644747873996885,0.8190798468690182,0.8657291666666664
