juego,9:00 ciclos,9:00 asistencia,10:00 ciclos,10:00 asistencia,11:00 ciclos,11:00 asistencia,12:00 ciclos,12:00 asistencia,13:00 ciclos,13:00 asistencia,14:00 ciclos,14:00 asistencia,15:00 ciclos,15:00 asistencia,16:00 ciclos,16:00 asistencia,17:00 ciclos,17:00 asistencia,18:00 ciclos,18:00 asistencia,ciclos total,asistencia total,fecha,es_festivo,nombre_festivo,temperatura_max,temperatura_min,condiciones_cielo,prob_precipitacion,promedio_asistencia_por_hora,promedio_ciclos_por_hora
Balloon Wheel,3,8,6,30,6,98,6,105,6,71,6,88,6.0,54.0,8.0,47.0,0.0,0.0,0.0,0.0,47.0,501.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,91.0909090909091,8.545454545454545
Samba Balloon,2,6,9,46,9,128,9,108,9,91,9,123,9.0,87.0,9.0,83.0,0.0,0.0,0.0,0.0,65.0,672.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,122.18181818181819,11.818181818181818
Loco Bus,2,9,8,38,9,120,11,174,13,171,12,108,10.0,86.0,11.0,119.0,0.0,0.0,0.0,0.0,76.0,825.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,150.0,13.818181818181818
Dragon,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,0.0,0.0
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,0.0,0.0
Ratón Loroco,36,140,78,294,78,285,76,285,72,282,76,304,77.0,299.0,33.0,250.0,0.0,0.0,0.0,0.0,526.0,2139.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,388.90909090909093,95.63636363636364
Remolino,13,83,46,244,52,294,56,313,56,297,56,303,46.0,266.0,43.0,186.0,0.0,0.0,0.0,0.0,368.0,1986.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,361.09090909090907,66.9090909090909
Rascacielos,4,46,8,118,8,155,8,141,9,155,8,135,8.0,137.0,8.0,123.0,0.0,0.0,0.0,0.0,61.0,1010.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,183.63636363636363,11.090909090909092
Tronco Splash,14,45,66,194,108,305,108,283,108,289,92,314,72.0,185.0,66.0,177.0,0.0,0.0,0.0,0.0,634.0,1792.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,325.8181818181818,115.27272727272727
Bumperazo,4,46,8,137,7,165,8,210,8,180,8,216,8.0,211.0,8.0,213.0,0.0,0.0,0.0,0.0,59.0,1378.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,250.54545454545453,10.727272727272727
Brincanguro,3,38,7,154,7,162,7,165,7,157,8,185,7.0,162.0,6.0,130.0,0.0,0.0,0.0,0.0,52.0,1153.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,209.63636363636363,9.454545454545455
Moto Bala,9,94,20,236,25,300,25,300,25,300,28,335,24.0,282.0,18.0,204.0,0.0,0.0,0.0,0.0,174.0,2051.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,372.90909090909093,31.636363636363637
Convoy,7,14,13,50,17,74,14,102,15,118,15,68,15.0,128.0,11.0,65.0,0.0,0.0,0.0,0.0,107.0,619.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,112.54545454545455,19.454545454545453
Bumpercitos,6,26,7,34,10,34,8,105,10,97,10,124,10.0,127.0,10.0,129.0,0.0,0.0,0.0,0.0,71.0,676.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,122.9090909090909,12.909090909090908
Bici Magica,11,90,9,56,12,75,12,135,11,119,11,105,11.0,124.0,10.0,76.0,0.0,0.0,0.0,0.0,87.0,780.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,141.8181818181818,15.818181818181818
Polo Norte,2,10,7,30,11,60,5,32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,132.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,24.0,4.545454545454546
Sol De Mi Barrio,0,0,3,16,7,63,7,132,6,238,6,175,4.0,154.0,5.0,114.0,0.0,0.0,0.0,0.0,38.0,892.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,162.1818181818182,6.909090909090909
Tifón,7,87,10,155,10,160,10,160,10,160,10,160,10.0,160.0,10.0,160.0,0.0,0.0,0.0,0.0,77.0,1202.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,218.54545454545453,14.0
Carrusel,5,11,11,57,13,153,11,153,13,142,14,133,12.0,152.0,12.0,138.0,0.0,0.0,0.0,0.0,91.0,939.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,170.72727272727272,16.545454545454547
Trencito,2,12,7,228,7,257,7,265,7,285,7,256,7.0,243.0,7.0,153.0,0.0,0.0,0.0,0.0,51.0,1699.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,308.90909090909093,9.272727272727273
El Revoloteo,8,73,9,160,9,188,9,194,9,208,9,212,9.0,189.0,9.0,179.0,0.0,0.0,0.0,0.0,71.0,1403.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,255.0909090909091,12.909090909090908
Guerra Pirata,3,15,8,80,6,66,5,92,8,146,8,102,9.0,102.0,8.0,74.0,0.0,0.0,0.0,0.0,55.0,677.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,123.0909090909091,10.0
Faro Saltarín,7,54,10,132,10,127,10,121,10,135,10,120,10.0,110.0,10.0,95.0,0.0,0.0,0.0,0.0,77.0,894.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,162.54545454545453,14.0
El Relámpago,6,24,30,215,34,244,36,251,36,256,36,269,36.0,270.0,29.0,210.0,0.0,0.0,0.0,0.0,243.0,1739.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,316.1818181818182,44.18181818181818
Casichoco,0,0,6,32,10,60,8,94,9,112,9,77,8.0,73.0,7.0,69.0,0.0,0.0,0.0,0.0,57.0,517.0,2023-11-16,False,Ninguno,23.0,14.0,Overcast,0,94.0,10.363636363636363
